"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"713830","14","0",0,"9 KOs","0 KOs"
"397849","33","4",0,"10 KOs","1 KOs"
"551036","24","5",1,"15 KOs","0 KOs"
"814452","15","1",1,"13 KOs","1 KOs"
"901060","7","1",1,"4 KOs","1 KOs"
"769852","19","1",0,"13 KOs","1 KOs"
"808005","17","0",0,"16 KOs","0 KOs"
"781857","10","2",0,"6 KOs","0 KOs"
"779179","12","1",0,"7 KOs","0 KOs"
"167522","35","10",3,"10 KOs","1 KOs"
"781654","17","0",0,"8 KOs","0 KOs"
"863084","5","0",0,"4 KOs","0 KOs"
"735632","23","5",0,"15 KOs","0 KOs"
"380707","22","3",1,"10 KOs","1 KOs"
"388836","28","2",0,"16 KOs","1 KOs"
"715608","21","1",0,"14 KOs","0 KOs"
"682169","17","4",0,"10 KOs","0 KOs"
"656266","19","3",2,"7 KOs","0 KOs"
"814862","12","0",1,"6 KOs","0 KOs"
"694940","15","3",2,"6 KOs","2 KOs"
"765181","20","1",0,"15 KOs","0 KOs"
"428653","30","8",1,"21 KOs","2 KOs"
"771883","20","3",1,"9 KOs","3 KOs"
"760564","13","1",0,"5 KOs","0 KOs"
"365040","23","5",0,"5 KOs","3 KOs"
"675276","19","1",1,"8 KOs","0 KOs"
"674303","22","2",0,"18 KOs","0 KOs"
"521998","13","7",1,"6 KOs","1 KOs"
"578516","33","1",1,"22 KOs","1 KOs"
"707760","18","3",0,"6 KOs","1 KOs"
"773151","13","1",0,"13 KOs","0 KOs"
"612432","15","6",0,"1 KOs","1 KOs"
"809347","13","0",0,"7 KOs","0 KOs"
"38070","69","11",0,"56 KOs","4 KOs"
"265500","47","6",0,"27 KOs","3 KOs"
"31252","42","5",3,"18 KOs","1 KOs"
"799346","9","1",0,"8 KOs","0 KOs"
"696560","22","5",1,"17 KOs","1 KOs"
"731708","22","3",2,"12 KOs","0 KOs"
"732465","16","0",0,"11 KOs","0 KOs"
