"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"11328","49","21",2,"30 KOs","3 KOs"
"12536","80","46",3,"58 KOs","24 KOs"
"646981","17","0",0,"17 KOs","0 KOs"
"9561","81","22",3,"51 KOs","9 KOs"
"10922","60","42",9,"28 KOs","11 KOs"
"7203","34","0",0,"6 KOs","0 KOs"
"19904","50","2",0,"34 KOs","0 KOs"
"52940","95","29",19,"25 KOs","2 KOs"
"11337","111","13",0,"49 KOs","4 KOs"
"10911","75","10",2,"62 KOs","3 KOs"
"52315","40","8",3,"17 KOs","1 KOs"
"4966","50","8",1,"30 KOs","3 KOs"
"35199","111","11",12,"24 KOs","2 KOs"
"374624","37","2",1,"19 KOs","1 KOs"
"9701","58","12",1,"33 KOs","7 KOs"
"9500","129","11",4,"49 KOs","3 KOs"
"12448","30","8",1,"19 KOs","4 KOs"
"643387","26","0",0,"24 KOs","0 KOs"
"17961","104","22",6,"87 KOs","3 KOs"
"35198","110","29",17,"67 KOs","0 KOs"
"21300","34","1",5,"16 KOs","0 KOs"
"733","44","7",1,"25 KOs","0 KOs"
"9523","59","7",1,"47 KOs","5 KOs"
"9615","56","39",12,"30 KOs","21 KOs"
"62470","94","26",15,"10 KOs","2 KOs"
"553","38","8",1,"20 KOs","4 KOs"
"6070","50","9",2,"41 KOs","6 KOs"
"10524","82","25",6,"54 KOs","3 KOs"
"22405","68","13",4,"25 KOs","5 KOs"
"9379","40","14",1,"27 KOs","8 KOs"
"11916","33","10",16,"9 KOs","2 KOs"
"12416","96","26",10,"58 KOs","8 KOs"
"3342","38","1",0,"14 KOs","0 KOs"
"278","52","7",1,"10 KOs","1 KOs"
"208432","47","6",0,"30 KOs","1 KOs"
"9735","30","4",1,"24 KOs","2 KOs"
"18309","34","4",1,"24 KOs","1 KOs"
"16502","57","21",3,"8 KOs","3 KOs"
"39771","74","9",17,"8 KOs","2 KOs"
"16494","65","10",2,"31 KOs","0 KOs"
"9769","69","32",10,"25 KOs","8 KOs"
"10254","65","15",5,"27 KOs","4 KOs"
"44","79","22",5,"44 KOs","8 KOs"
"817","29","3",1,"21 KOs","3 KOs"
"9568","144","36",15,"17 KOs","6 KOs"
"509","50","8",1,"34 KOs","4 KOs"
"9923","128","41",11,"36 KOs","8 KOs"
"11086","45","13",5,"24 KOs","3 KOs"
"9577","77","46",31,"23 KOs","8 KOs"
"10286","115","11",5,"59 KOs","6 KOs"
"9906","58","14",5,"14 KOs","1 KOs"
"10526","83","14",3,"36 KOs","3 KOs"
"28688","91","28",9,"18 KOs","1 KOs"
"13862","79","15",11,"25 KOs","4 KOs"
"24513","192","47",11,"114 KOs","9 KOs"
"18263","47","4",1,"23 KOs","0 KOs"
"11253","40","17",5,"35 KOs","3 KOs"
"16178","40","12",1,"24 KOs","4 KOs"
"13502","19","4",1,"1 KOs","2 KOs"
"9596","171","45",19,"87 KOs","7 KOs"
"10360","48","18",3,"36 KOs","5 KOs"
"24133","68","21",2,"17 KOs","0 KOs"
"2046","41","5",0,"25 KOs","0 KOs"
"11387","27","12",1,"19 KOs","1 KOs"
"29486","42","4",0,"21 KOs","1 KOs"
"11519","56","5",6,"20 KOs","0 KOs"
"584","37","6",1,"24 KOs","5 KOs"
"26137","32","7",4,"16 KOs","0 KOs"
"10344","61","9",3,"30 KOs","1 KOs"
"55753","75","24",8,"16 KOs","10 KOs"
"9619","131","13",1,"57 KOs","10 KOs"
"7361","54","21",2,"37 KOs","2 KOs"
"1943","43","4",1,"23 KOs","2 KOs"
"20323","34","9",0,"18 KOs","6 KOs"
"631178","28","1",0,"20 KOs","0 KOs"
"10616","37","13",3,"13 KOs","4 KOs"
"10857","56","23",2,"33 KOs","5 KOs"
"12495","62","13",8,"14 KOs","2 KOs"
"36930","94","16",1,"43 KOs","3 KOs"
"5625","31","0",0,"23 KOs","0 KOs"
"22370","95","26",4,"32 KOs","5 KOs"
"11782","100","44",7,"20 KOs","6 KOs"
"11804","88","7",6,"22 KOs","1 KOs"
"12327","69","28",3,"34 KOs","0 KOs"
"12630","47","9",4,"20 KOs","3 KOs"
"87429","83","33",7,"41 KOs","8 KOs"
"323521","24","2",1,"20 KOs","1 KOs"
"9466","73","41",5,"51 KOs","12 KOs"
"804","45","5",2,"23 KOs","1 KOs"
"17873","144","53",15,"26 KOs","10 KOs"
"13501","45","15",2,"21 KOs","5 KOs"
"1","99","28",3,"53 KOs","1 KOs"
"13688","63","16",12,"25 KOs","1 KOs"
"12374","64","7",1,"43 KOs","2 KOs"
"6922","38","6",1,"22 KOs","2 KOs"
"402","66","4",0,"63 KOs","2 KOs"
"541777","27","4",0,"12 KOs","0 KOs"
"4968","42","6",1,"18 KOs","4 KOs"
"12066","103","27",16,"40 KOs","5 KOs"
"12567","45","5",1,"37 KOs","3 KOs"
"21892","77","23",6,"41 KOs","0 KOs"
"10362","50","25",4,"35 KOs","13 KOs"
"479775","31","1",0,"18 KOs","0 KOs"
"29345","43","7",3,"18 KOs","2 KOs"
"9799","54","20",5,"14 KOs","2 KOs"
"37335","27","37",7,"5 KOs","9 KOs"
"725709","18","0",0,"13 KOs","0 KOs"
"9430","97","26",6,"26 KOs","4 KOs"
"13101","71","9",9,"35 KOs","7 KOs"
"154","73","12",2,"27 KOs","7 KOs"
"86911","40","19",3,"7 KOs","6 KOs"
"9629","58","7",1,"24 KOs","2 KOs"
"42205","96","52",13,"31 KOs","6 KOs"
"79895","30","8",2,"15 KOs","4 KOs"
"43296","27","5",0,"5 KOs","2 KOs"
"1382","57","6",0,"30 KOs","6 KOs"
"9866","56","24",7,"13 KOs","2 KOs"
"226","43","7",1,"31 KOs","4 KOs"
"7981","32","4",1,"23 KOs","1 KOs"
"9526","38","8",0,"27 KOs","3 KOs"
"28967","100","15",3,"32 KOs","1 KOs"
"1639","29","5",0,"23 KOs","3 KOs"
"38558","40","1",0,"28 KOs","1 KOs"
"130857","16","9",1,"6 KOs","3 KOs"
